WorkerId,Input.code,Answer.best_grammar
worker_170,534#4#0,B
worker_189,534#4#0,B
worker_044,534#1#2,A
worker_122,534#1#2,B
worker_173,534#1#2,A
worker_055,534#1#3,B
worker_152,534#1#3,A
worker_184,534#1#3,B
worker_036,534#4#1,B
worker_046,534#4#1,B
worker_113,534#4#1,A
worker_019,534#2#3,A
worker_064,534#2#3,B
worker_152,534#2#3,B
worker_001,534#4#2,B
worker_122,534#4#2,A
worker_207,534#4#2,B
worker_055,534#3#4,A
worker_180,534#3#4,B
worker_189,534#3#4,A
worker_089,447#0#1,B
worker_122,447#0#1,B
worker_212,447#0#1,B
worker_044,447#0#2,A
worker_152,447#0#2,B
worker_212,447#0#2,B
worker_126,447#3#0,A
worker_173,447#3#0,A
worker_189,447#3#0,A
worker_019,447#0#4,B
worker_113,447#0#4,A
worker_207,447#0#4,A
worker_044,447#2#1,B
worker_170,447#2#1,B
worker_180,447#2#1,A
worker_146,447#1#3,A
worker_188,447#1#3,A
worker_189,447#1#3,A
worker_055,447#1#4,B
worker_146,447#1#4,A
worker_199,447#1#4,A
worker_037,447#2#3,A
worker_113,447#2#3,B
worker_212,447#2#3,B
worker_055,447#4#2,A
worker_075,447#4#2,A
worker_122,447#4#2,B
worker_041,447#4#3,B
worker_184,447#4#3,A
worker_212,447#4#3,A
worker_006,204#1#3,B
worker_189,204#1#3,A
worker_195,204#1#3,A
worker_146,55#3#2,A
worker_152,55#3#2,B
worker_189,55#3#2,A
worker_148,204#0#4,A
worker_155,204#0#4,B
worker_199,204#0#4,A
worker_011,606#3#0,B
worker_148,606#3#0,A
worker_166,606#3#0,B
worker_037,204#2#1,B
worker_086,204#2#1,B
worker_152,204#2#1,B
worker_064,606#1#2,A
worker_183,606#1#2,A
worker_199,606#1#2,B
worker_037,55#2#0,B
worker_055,55#2#0,A
worker_159,55#2#0,B
worker_011,654#2#4,A
worker_146,654#2#4,B
worker_199,654#2#4,B
worker_113,55#0#1,A
worker_148,55#0#1,A
worker_212,55#0#1,A
worker_001,654#1#0,B
worker_011,654#1#0,B
worker_194,654#1#0,B
worker_041,55#2#4,A
worker_055,55#2#4,A
worker_173,55#2#4,B
worker_037,654#0#3,A
worker_041,654#0#3,B
worker_155,654#0#3,B
worker_001,204#1#0,A
worker_146,204#1#0,A
worker_170,204#1#0,A
worker_148,606#3#1,A
worker_166,606#3#1,B
worker_197,606#3#1,B
worker_037,204#4#3,B
worker_146,204#4#3,A
worker_199,204#4#3,B
worker_012,654#0#2,A
worker_159,654#0#2,B
worker_189,654#0#2,A
worker_055,606#0#1,A
worker_166,606#0#1,A
worker_180,606#0#1,A
worker_001,204#0#3,B
worker_198,204#0#3,A
worker_214,204#0#3,B
worker_155,606#3#2,A
worker_180,606#3#2,A
worker_188,606#3#2,B
worker_055,538#1#4,B
worker_183,538#1#4,A
worker_194,538#1#4,B
worker_166,654#3#1,A
worker_170,654#3#1,B
worker_189,654#3#1,A
worker_011,538#0#2,A
worker_019,538#0#2,A
worker_188,538#0#2,A
worker_094,204#3#2,A
worker_122,204#3#2,A
worker_152,204#3#2,B
worker_006,204#1#4,B
worker_094,204#1#4,B
worker_113,204#1#4,B
worker_144,55#2#1,B
worker_183,55#2#1,A
worker_188,55#2#1,B
worker_041,538#1#3,A
worker_113,538#1#3,B
worker_189,538#1#3,A
worker_027,606#0#2,A
worker_146,606#0#2,B
worker_180,606#0#2,A
worker_019,606#4#3,A
worker_089,606#4#3,A
worker_159,606#4#3,B
worker_012,55#4#3,A
worker_027,55#4#3,A
worker_044,55#4#3,A
worker_011,55#4#0,A
worker_037,55#4#0,A
worker_207,55#4#0,A
worker_152,654#3#4,B
worker_155,654#3#4,A
worker_188,654#3#4,A
worker_047,538#1#2,A
worker_188,538#1#2,B
worker_207,538#1#2,A
worker_044,538#4#0,B
worker_144,538#4#0,A
worker_148,538#4#0,A
worker_066,654#1#4,B
worker_155,654#1#4,A
worker_188,654#1#4,B
worker_043,204#2#0,B
worker_113,204#2#0,A
worker_122,204#2#0,B
worker_027,654#3#2,B
worker_044,654#3#2,A
worker_212,654#3#2,A
worker_001,606#4#1,A
worker_027,606#4#1,A
worker_212,606#4#1,A
worker_142,538#4#3,B
worker_144,538#4#3,A
worker_159,538#4#3,A
worker_001,654#1#2,A
worker_011,654#1#2,B
worker_146,654#1#2,A
worker_012,204#4#2,A
worker_126,204#4#2,A
worker_189,204#4#2,A
worker_126,538#3#2,A
worker_173,538#3#2,A
worker_183,538#3#2,A
worker_044,55#1#4,A
worker_173,55#1#4,A
worker_212,55#1#4,B
worker_001,538#0#1,A
worker_044,538#0#1,B
worker_212,538#0#1,B
worker_113,538#2#4,A
worker_199,538#2#4,B
worker_214,538#2#4,A
worker_001,606#0#4,A
worker_043,606#0#4,B
worker_126,606#0#4,A
worker_037,538#3#0,B
worker_047,538#3#0,B
worker_113,538#3#0,A
worker_055,55#0#3,A
worker_148,55#0#3,B
worker_212,55#0#3,B
worker_019,654#0#4,B
worker_047,654#0#4,B
worker_183,654#0#4,B
worker_066,55#3#1,A
worker_089,55#3#1,B
worker_199,55#3#1,B
worker_086,606#2#4,A
worker_094,606#2#4,B
worker_199,606#2#4,A
worker_013,256#1#0,B
worker_191,256#1#0,B
worker_199,256#1#0,A
worker_055,256#2#0,A
worker_064,256#2#0,A
worker_144,256#2#0,B
worker_012,256#0#3,B
worker_146,256#0#3,B
worker_191,256#0#3,A
worker_044,256#0#4,A
worker_113,256#0#4,B
worker_189,256#0#4,B
worker_064,256#1#2,A
worker_113,256#1#2,B
worker_199,256#1#2,A
worker_036,256#3#1,A
worker_138,256#3#1,B
worker_191,256#3#1,A
worker_097,256#4#1,A
worker_144,256#4#1,B
worker_194,256#4#1,B
worker_019,256#2#3,A
worker_064,256#2#3,B
worker_189,256#2#3,A
worker_020,256#2#4,B
worker_044,256#2#4,B
worker_113,256#2#4,B
worker_019,256#3#4,B
worker_095,256#3#4,A
worker_118,256#3#4,B
worker_016,126#0#1,B
worker_064,126#0#1,B
worker_170,126#0#1,B
worker_114,126#0#2,A
worker_138,126#0#2,A
worker_146,126#0#2,A
worker_027,126#3#0,A
worker_046,126#3#0,B
worker_199,126#3#0,B
worker_019,126#4#0,B
worker_189,126#4#0,B
worker_019,126#1#2,A
worker_055,126#1#2,A
worker_157,126#1#2,A
worker_020,126#1#3,A
worker_069,126#1#3,B
worker_152,126#1#3,B
worker_019,126#1#4,A
worker_037,126#1#4,A
worker_044,126#1#4,A
worker_064,126#3#2,B
worker_149,126#3#2,A
worker_170,126#3#2,A
worker_012,126#4#2,B
worker_055,126#4#2,B
worker_144,126#4#2,B
worker_064,126#4#3,A
worker_096,126#4#3,A
worker_189,126#4#3,B
worker_064,390#0#1,B
worker_113,390#0#1,A
worker_199,390#0#1,A
worker_055,390#0#2,B
worker_064,390#0#2,B
worker_176,390#0#2,A
worker_036,390#3#0,A
worker_138,390#3#0,A
worker_189,390#3#0,B
worker_032,390#4#0,A
worker_146,390#4#0,A
worker_189,390#4#0,A
worker_027,390#1#2,A
worker_055,390#1#2,B
worker_194,390#1#2,A
worker_019,390#3#1,B
worker_055,390#3#1,B
worker_146,390#3#1,B
worker_055,390#4#1,A
worker_170,390#4#1,A
worker_188,390#4#1,A
worker_012,390#3#2,B
worker_064,390#3#2,B
worker_193,390#3#2,B
worker_024,390#2#4,B
worker_055,390#2#4,B
worker_189,390#2#4,B
worker_019,390#4#3,A
worker_189,390#4#3,A
worker_055,418#0#1,A
worker_146,418#0#1,B
worker_170,418#0#1,B
worker_055,418#0#2,A
worker_191,418#0#2,A
worker_020,418#0#3,A
worker_170,418#0#3,A
worker_184,418#0#3,A
worker_106,418#4#0,B
worker_113,418#4#0,B
worker_189,418#4#0,A
worker_012,418#2#1,B
worker_113,418#2#1,A
worker_191,418#2#1,B
worker_138,418#1#3,A
worker_144,418#1#3,A
worker_189,418#1#3,B
worker_012,418#1#4,A
worker_064,418#1#4,A
worker_189,418#1#4,A
worker_012,418#2#3,A
worker_044,418#2#3,B
worker_055,418#2#3,B
worker_012,418#2#4,A
worker_019,418#2#4,B
worker_095,418#2#4,B
worker_055,418#3#4,B
worker_071,418#3#4,A
worker_146,418#3#4,A
worker_144,407#0#1,B
worker_191,407#0#1,A
worker_194,407#0#1,A
worker_064,407#2#0,B
worker_137,407#2#0,A
worker_191,407#2#0,B
worker_008,407#3#0,B
worker_036,407#3#0,B
worker_146,407#3#0,A
worker_064,407#0#4,A
worker_144,407#0#4,B
worker_146,407#0#4,B
worker_016,407#1#2,A
worker_064,407#1#2,A
worker_199,407#1#2,A
worker_055,407#1#3,B
worker_156,407#1#3,B
worker_170,407#1#3,A
worker_044,407#1#4,A
worker_146,407#1#4,A
worker_019,407#3#2,B
worker_144,407#3#2,A
worker_170,407#3#2,A
worker_019,407#2#4,B
worker_146,407#2#4,B
worker_191,407#2#4,B
worker_055,407#4#3,B
worker_064,407#4#3,B
worker_191,407#4#3,B
