WorkerId,Input.code,Answer.best_coh
worker_143,666#0#2,A
worker_082,666#0#3,B
worker_162,666#0#3,B
worker_171,666#0#3,B
worker_014,666#4#0,B
worker_083,666#4#0,B
worker_108,666#4#0,B
worker_079,666#1#2,B
worker_144,666#1#2,B
worker_212,666#1#2,B
worker_044,666#3#1,B
worker_079,666#3#1,A
worker_171,666#3#1,B
worker_001,666#1#4,A
worker_044,666#1#4,A
worker_107,666#1#4,B
worker_101,666#3#2,A
worker_164,666#3#2,B
worker_214,666#3#2,A
worker_000,666#4#2,A
worker_171,666#4#2,B
worker_199,666#4#2,A
worker_004,666#3#4,A
worker_043,666#3#4,B
worker_203,666#3#4,A
worker_000,534#1#0,A
worker_044,534#1#0,B
worker_087,534#1#0,A
worker_022,534#0#2,A
worker_038,534#0#2,B
worker_043,534#0#2,B
worker_079,534#0#3,A
worker_104,534#0#3,A
worker_214,534#0#3,A
worker_037,534#4#0,B
worker_122,534#4#0,B
worker_171,534#4#0,B
worker_044,534#1#2,A
worker_107,534#1#2,B
worker_169,534#1#2,B
worker_002,534#1#3,A
worker_043,534#1#3,B
worker_215,534#1#3,A
worker_079,534#4#1,B
worker_104,534#4#1,B
worker_131,534#4#1,B
worker_044,534#2#3,A
worker_082,534#2#3,A
worker_087,534#2#3,A
worker_083,534#4#2,A
worker_101,534#4#2,A
worker_199,534#4#2,A
worker_060,534#3#4,A
worker_131,534#3#4,B
worker_208,534#3#4,A
worker_101,447#0#1,B
worker_171,447#0#1,B
worker_203,447#0#1,B
worker_034,447#0#2,A
worker_079,447#0#2,B
worker_199,447#0#2,A
worker_083,447#3#0,A
worker_131,447#3#0,A
worker_212,447#3#0,A
worker_101,447#0#4,A
worker_112,447#0#4,A
worker_212,447#0#4,A
worker_079,447#2#1,A
worker_108,447#2#1,B
worker_212,447#2#1,B
worker_083,447#1#3,B
worker_199,447#1#3,B
worker_201,447#1#3,A
worker_079,447#1#4,A
worker_185,447#1#4,B
worker_212,447#1#4,B
worker_012,447#2#3,B
worker_037,447#2#3,B
worker_215,447#2#3,B
worker_101,447#4#2,A
worker_131,447#4#2,A
worker_215,447#4#2,B
worker_079,447#4#3,A
worker_171,447#4#3,A
worker_212,447#4#3,B
worker_079,204#1#0,B
worker_177,204#1#0,A
worker_186,204#1#0,A
worker_017,204#2#0,B
worker_079,204#2#0,A
worker_143,204#2#0,B
worker_037,204#0#3,B
worker_143,204#0#3,B
worker_186,204#0#3,A
worker_022,204#0#4,A
worker_118,204#0#4,B
worker_143,204#0#4,B
worker_055,204#2#1,B
worker_144,204#2#1,B
worker_195,204#2#1,B
worker_042,204#1#3,A
worker_079,204#1#3,A
worker_092,204#1#3,A
worker_002,204#1#4,A
worker_079,204#1#4,A
worker_207,204#1#4,B
worker_043,204#3#2,A
worker_144,204#3#2,A
worker_186,204#3#2,A
worker_043,204#4#2,A
worker_079,204#4#2,B
worker_207,204#4#2,A
worker_037,204#4#3,B
worker_079,204#4#3,B
worker_152,204#4#3,A
worker_044,606#0#1,A
worker_108,606#0#1,B
worker_143,606#0#1,B
worker_122,606#0#2,B
worker_191,606#0#2,A
worker_207,606#0#2,A
worker_002,606#3#0,B
worker_055,606#3#0,A
worker_079,606#3#0,A
worker_108,606#0#4,B
worker_189,606#0#4,B
worker_191,606#0#4,A
worker_175,606#1#2,B
worker_186,606#1#2,A
worker_191,606#1#2,A
worker_043,606#3#1,B
worker_167,606#3#1,A
worker_191,606#3#1,B
worker_155,606#4#1,A
worker_170,606#4#1,B
worker_186,606#4#1,B
worker_037,606#3#2,A
worker_057,606#3#2,A
worker_186,606#3#2,A
worker_043,606#2#4,B
worker_122,606#2#4,B
worker_191,606#2#4,B
worker_055,606#4#3,B
worker_058,606#4#3,B
worker_108,606#4#3,A
worker_002,654#1#0,A
worker_055,654#1#0,B
worker_186,654#1#0,A
worker_191,654#0#2,A
worker_199,654#0#2,B
worker_207,654#0#2,B
worker_079,654#0#3,A
worker_186,654#0#3,A
worker_191,654#0#3,A
worker_037,654#0#4,B
worker_079,654#0#4,A
worker_199,654#0#4,B
worker_044,654#1#2,A
worker_132,654#1#2,B
worker_186,654#1#2,A
worker_037,654#3#1,A
worker_189,654#3#1,B
worker_191,654#3#1,A
worker_002,654#1#4,A
worker_079,654#1#4,B
worker_178,654#1#4,B
worker_019,654#3#2,A
worker_079,654#3#2,B
worker_144,654#3#2,B
worker_041,654#2#4,B
worker_079,654#2#4,B
worker_143,654#2#4,B
worker_001,654#3#4,A
worker_076,654#3#4,A
worker_186,654#3#4,A
worker_118,55#0#1,A
worker_186,55#0#1,B
worker_191,55#0#1,A
worker_002,55#2#0,A
worker_037,55#2#0,B
worker_113,55#2#0,B
worker_037,55#0#3,A
worker_043,55#0#3,A
worker_144,55#0#3,A
worker_043,55#4#0,A
worker_143,55#4#0,A
worker_186,55#4#0,A
worker_113,55#2#1,A
worker_143,55#2#1,B
worker_207,55#2#1,B
worker_079,55#3#1,A
worker_085,55#3#1,B
worker_191,55#3#1,A
worker_001,55#1#4,A
worker_113,55#1#4,A
worker_186,55#1#4,A
worker_055,55#3#2,B
worker_079,55#3#2,B
worker_188,55#3#2,A
worker_043,55#2#4,B
worker_079,55#2#4,B
worker_186,55#2#4,B
worker_022,55#4#3,B
worker_155,55#4#3,A
worker_180,55#4#3,A
worker_053,538#0#1,A
worker_079,538#0#1,B
worker_186,538#0#1,B
worker_037,538#0#2,B
worker_115,538#0#2,A
worker_207,538#0#2,A
worker_079,538#3#0,A
worker_186,538#3#0,B
worker_197,538#3#0,B
worker_043,538#4#0,A
worker_197,538#4#0,A
worker_055,538#1#2,A
worker_113,538#1#2,B
worker_197,538#1#2,B
worker_021,538#1#3,A
worker_118,538#1#3,B
worker_186,538#1#3,A
worker_044,538#1#4,B
worker_092,538#1#4,A
worker_197,538#1#4,B
worker_047,538#3#2,B
worker_079,538#3#2,A
worker_089,538#3#2,B
worker_037,538#2#4,B
worker_144,538#2#4,B
worker_191,538#2#4,B
worker_148,538#4#3,B
worker_207,538#4#3,A
